ip,port,err,checkurl,g_idx
101.53.158.48,9300,asyncio.exceptions.TimeoutError,https://www.whatismyip.com.tw/tw/,0
101.53.158.48,9300,asyncio.exceptions.TimeoutError,https://www.myip.com/,0
101.53.158.48,9300,asyncio.exceptions.TimeoutError,https://www.rus.net.tw/myip.php,0
101.53.158.48,9300,"status=200, or ip not show in checkurl",http://210.240.175.62/NTIIS/IP_test.asp,0
101.53.158.48,9300,"status=200, or ip not show in checkurl",https://httpbin.org/ip,0
101.53.158.48,9300,"status=403, or ip not show in checkurl",https://www.whatismyip.com/,0
101.53.158.48,9300,"status=403, or ip not show in checkurl",https://whatismyipaddress.com/zh-cn/index,0
103.105.212.106,53281,asyncio.exceptions.TimeoutError,https://www.myip.com/,1
103.105.212.106,53281,asyncio.exceptions.TimeoutError,https://httpbin.org/ip,1
103.105.212.106,53281,asyncio.exceptions.TimeoutError,http://210.240.175.62/NTIIS/IP_test.asp,1
103.105.212.106,53281,asyncio.exceptions.TimeoutError,https://www.whatismyip.com/,1
103.105.212.106,53281,asyncio.exceptions.TimeoutError,https://www.rus.net.tw/myip.php,1
103.105.212.106,53281,asyncio.exceptions.TimeoutError,https://whatismyipaddress.com/zh-cn/index,1
103.105.212.106,53281,asyncio.exceptions.TimeoutError,https://www.whatismyip.com.tw/tw/,1
103.119.244.10,55207,asyncio.exceptions.TimeoutError,https://www.whatismyip.com.tw/tw/,2
103.119.244.10,55207,asyncio.exceptions.TimeoutError,https://www.myip.com/,2
103.119.244.10,55207,asyncio.exceptions.TimeoutError,https://whatismyipaddress.com/zh-cn/index,2
103.119.244.10,55207,asyncio.exceptions.TimeoutError,https://www.whatismyip.com/,2
103.119.244.10,55207,"status=200, or ip not show in checkurl",http://210.240.175.62/NTIIS/IP_test.asp,2
103.119.244.10,55207,"status=200, or ip not show in checkurl",https://www.rus.net.tw/myip.php,2
103.119.244.10,55207,"status=200, or ip not show in checkurl",https://httpbin.org/ip,2
103.152.101.136,8080,asyncio.exceptions.TimeoutError,https://www.rus.net.tw/myip.php,3
103.152.101.136,8080,asyncio.exceptions.TimeoutError,https://httpbin.org/ip,3
103.152.101.136,8080,asyncio.exceptions.TimeoutError,https://www.myip.com/,3
103.152.101.136,8080,asyncio.exceptions.TimeoutError,https://www.whatismyip.com.tw/tw/,3
103.152.101.136,8080,"status=200, or ip not show in checkurl",https://www.whatismyip.com/,3
103.152.101.136,8080,"status=200, or ip not show in checkurl",https://whatismyipaddress.com/zh-cn/index,3
103.152.101.136,8080,"status=200, or ip not show in checkurl",http://210.240.175.62/NTIIS/IP_test.asp,3
103.83.116.122,55443,asyncio.exceptions.TimeoutError,https://www.myip.com/,4
103.83.116.122,55443,asyncio.exceptions.TimeoutError,https://www.rus.net.tw/myip.php,4
103.83.116.122,55443,asyncio.exceptions.TimeoutError,http://210.240.175.62/NTIIS/IP_test.asp,4
